code_unite;nom_unite;abrege_unite;departement;type_unite;num_tph;num_tph_mobile_unite;num_fax_unite;rang_classement;adresse_geographique_unite;adresse_postale_unite
76127;"Division des audits des inspections et des �tudes IGGN";"DAIE IGGN";92;035M;;;;11;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
80154;"D�partement des inspecteurs g�n�raux charg�s de missions DAIE IGGN";"DIGCM DAIE IGGN";92;9237;;;;12;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
14228;"D�partement des inspecteurs charg�s d'�tudes et de missions DAIE IGGN";"DICEM DAIE IGGN";92;9237;"+33 1 84221518";"+33 6 47 73 39 43";;13;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
83060;"Mission s�ret� de la gendarmerie DAIE IGGN";"MSG DAIE IGGN";92;9221;;;;14;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
76128;"Division des enqu�tes internes IGGN";"DEI IGGN";92;035M;;;;15;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
77352;"Antenne d�concentr�e de l'Inspection G�n�rale de la Gendarmerie Nationale de Malakoff";"ADIGGN MALAKOFF";92;9240;;;;16;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
77327;"Antenne d�concentr�e Inspection G�n�rale de la Gendarmerie Nationale de Bordeaux";"ADIGGN BORDEAUX";33;9239;;;;17;"Caserne Battesti$59 Rue S�guineau$33700 MERIGNAC";"CASERNE BATTESTI$59 RUE SEGUINEAU$CS 90013$33692 MERIGNAC CEDEX"
77328;"Antenne d�concentr�e Inspection G�n�rale de la Gendarmerie Nationale de Lyon";"ADIGGN LYON";69;9239;"+33 4 37 85 24 37";"+33 6 86 67 03 71";;18;"36 Boulevard de l'Ouest$69580 SATHONAY CAMP";"36 BOULEVARD DE L OUEST$69580 SATHONAY CAMP"
85577;"Antenne d�concentr�e Inspection G�n�rale de la Gendarmerie Nationale de Montpellier";"ADIGGN MONTPELLIER";34;9239;;;;19;"Caserne Lepic$359 Rue de Fontcouverte$34070 MONTPELLIER";"CASERNE LEPIC$359 RUE DE FONTCOUVERTE$34056 MONTPELLIER CEDEX 1"
79327;"Antenne d�concentr�e Inspection G�n�rale de la Gendarmerie Nationale de Rennes";"ADIGGN RENNES";35;9239;;;;20;"Caserne g�n�ral Maurice GUILLAUDOT$85 Boulevard Clemenceau$35000 RENNES";"CASERNE GENERAL MAURICE GUILLAUDOT$85 BOULEVARD CLEMENCEAU$BP 33284$35032 RENNES CEDEX"
79328;"Antenne d�concentr�e Inspection G�n�rale de la Gendarmerie Nationale de Metz";"ADIGGN METZ";57;9239;"+33 3 87 56 21 23";;;21;"Caserne g�n�ral Radet$2 Rue Albert Bettannier$57070 METZ";"CASERNE GENERAL RADET$2 RUE ALBERT BETTANNIER$BP 85195$57075 METZ CEDEX 03"
79329;"Antenne d�concentr�e Inspection G�n�rale de la Gendarmerie Nationale de Lille";"ADIGGN LILLE";59;9239;;;;22;"Caserne Gendarme Damien$283 Boulevard Henri Harpignies$59300 VALENCIENNES";"CASERNE GENDARME DAMIEN$283 BOULEVARD HENRI HARPIGNIES$59300 VALENCIENNES"
11129;"Bureau des enqu�tes judiciaires DEI IGGN";"BEJ DEI IGGN";92;068R;;;;23;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
94577;"D�tachement du bureau enqu�tes judiciaires IGGN";"DET BEJ IGGN";34;031M;;;;24;"359 Rue de Foncouverte$34056 MONTPELLIER CEDEX 1";"359 RUE DE FONCOUVERTE$34056 MONTPELLIER CEDEX 1"
94578;"D�tachement central du bureau enqu�tes judiciaires IGGN";"DETC BEJ IGGN";92;031M;;;;25;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
11549;"Bureau des enqu�tes administratives DEI IGGN";"BEA DEI IGGN";92;068R;"+33 1 84 22 16 39";;;26;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
70177;"Division des signalements et de la d�ontologie IGGN";"DSD IGGN";92;035M;"+33 1 84 22 15 67";;;27;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
76129;"Bureau des signalements et des r�clamations DSD IGGN";"BSR DSD IGGN";92;068R;;;;28;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
76130;"Bureau de la d�ontologie et de l'analyse juridique DSD IGGN";"BDAJ DSD IGGN";92;068R;;;;29;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
80153;"Division des audits et expertises techniques IGGN";"DAET IGGN";92;035M;;;;30;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
29080;"Bureau d'audit financier administratif et technique DAET IGGN";"BAFAT DAET IGGN";92;068R;;;;31;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
29081;"Section des audits logistiques BAFAT IGGN";"SAL BAFAT IGGN";92;8112;"+33 1 84 22 16 87";;;32;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
29082;"Section des audits financiers BAFAT IGGN";"SAF BAFAT IGGN";92;8112;"+33 1 84 22 16 91";"+33 6 08 28 39 00";;33;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
26101;"Bureau de l'audit de la s�curit� des syst�mes d'information DAET IGGN";"BASSI DAET IGGN";92;068R;;;;34;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
27275;"Bureau de l'audit de la protection et la gouvernance des donn�es DAET IGGN";"BAPGD DAET IGGN";92;068R;"+33 1 84 22 16 01";;;35;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
11130;"Bureau de l'audit de la sant� et la s�curit� au travail DAET IGGN";"BASST DAET IGGN";92;068R;"+33 1 84 22 15 60";;;36;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
31250;"Groupe des inspecteurs sant� et s�curit� au travail DAET IGGN";"GISST DAET IGGN";92;9077;;;;37;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
76427;"D�tachement des inspecteurs sant� et s�curit� au travail de Paris";"DISST PARIS";94;9063;;;;38;"Quartier Mohier$4 Avenue Busteau$94700 MAISONS ALFORT";"QUARTIER MOHIER$4 AVENUE BUSTEAU$94706 MAISONS ALFORT CEDEX"
76428;"D�tachement des inspecteurs sant� et s�curit� au travail de Rennes";"DISST RENNES";35;9063;;;;39;"Caserne g�n�ral Maurice GUILLAUDOT$85 Boulevard Clemenceau$35000 RENNES";"CASERNE GENERAL MAURICE GUILLAUDOT$85 BOULEVARD CLEMENCEAU$BP 33284$35032 RENNES CEDEX"
76429;"D�tachement des inspecteurs sant� et s�curit� au travail de Sathonay-Camp";"DISST SATHONAY-CAMP";69;9063;;;;40;"36 Boulevard de l'Ouest$69580 SATHONAY CAMP";"36 BOULEVARD DE L OUEST$69580 SATHONAY CAMP"
76430;"D�tachement des inspecteurs sant� et s�curit� au travail de Lille";"DISST LILLE";59;9063;;;;41;"Caserne Adjudant S�n�part$201 Boulevard de Mons$59650 VILLENEUVE D ASCQ";"CASERNE ADJUDANT SENEPART$201 BOULEVARD DE MONS$BP 187 VILLENEUVE D ASCQ$59018 LILLE CEDEX"
76431;"D�tachement des inspecteurs sant� et s�curit� au travail de Marseille";"DISST MARSEILLE";13;9063;"+33 4 84 35 41 49";"+33 6 32 24 64 10";;42;"PREFECTURE DES BOUCHES-DU-RHONE$1 Boulevard Paul Peytral$13282 MARSEILLE CEDEX 20";"PREFECTURE DES BOUCHES DU RHONE$1 BOULEVARD PAUL PEYTRAL$CS 80001$13282 MARSEILLE CEDEX 20"
76432;"D�tachement des inspecteurs sant� et s�curit� au travail de Metz";"DISST METZ";57;9063;;;;43;"Caserne g�n�ral Radet$2 Rue Albert Bettannier$57070 METZ";"CASERNE GENERAL RADET$2 RUE ALBERT BETTANNIER$BP 85195$57075 METZ CEDEX 03"
76433;"D�tachement des inspecteurs sant� et s�curit� au travail de Bordeaux";"DISST BORDEAUX";33;9063;;;;44;"SGAMI SUD-OUEST$cours Dupr� Saint-Maur$B�timent B 89$33000 BORDEAUX";"SGAMI SUD OUEST$COURS DUPRE SAINT MAUR$BATIMENT B 89$33000 BORDEAUX"
83828;"Coordonnateur national de la pr�vention DAET IGGN";"CNP DAET IGGN";92;9285;;;;45;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
31400;"Conseil permanent de la s�curit� a�rienne de la gendarmerie nationale DAET IGGN";"CPSAGN DAET IGGN";92;9219;"+33 1 84 22 15 09";;;46;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
83827;"Observatoire de la gendarmerie pour l'�galit� et contre les discriminations IGGN";"OGED IGGN";92;9285;;;;47;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
77602;"Cellule nationale retex IGGN";"CNRETEX IGGN";92;9028;"+33 1 44 42 39 24";;;48;"1 Boulevard Louise Michel$92240 MALAKOFF";"1 BOULEVARD LOUISE MICHEL$92240 MALAKOFF"
2;"Direction g�n�rale de la gendarmerie nationale";DGGN;92;038K;"+33 1 84 22 29 99";;;49;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
71352;"Secr�tariat particulier DGGN";"SECR PARTICULIER DGGN";92;0311;;;;50;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
4;"Major g�n�ral DGGN";"MG DGGN";92;016E;"+33 1 84 22 00 75";;;51;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
5;"Cabinet DGGN";"CAB DGGN";92;0161;;"+33 628471343";;52;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
93202;"P�le sciences, num�rique et innovations pour les technologies de l'information et le cyber CAB DGGN";"PSNITIC CAB DGGN";92;056K;;;;53;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
75854;"Obs nat veille strat des innovations scientifiques et des technologies de rupture pour la s�curit� int�rieure PSNITIC DGGN";"ONISTS PSNITIC DGGN";92;9233;;;;54;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
84327;"Charg�s de fonction CAB DGGN";"CF CAB DGGN";92;8025;;;;55;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
28878;"Fonction ressources humaines CF CAB DGGN";"FRH CF CAB DGGN";92;8026;"+33 1 84 22 01 03";"+33 6 60 68 40 87";;56;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
28879;"Fonction soutiens finances CF CAB DGGN";"FSF CF CAB DGGN";75;8026;"+33 1 49 24 43 77";"+33 1 84 22 01 04";;57;"Minist�re de l'Int�rieur$11 Rue des Saussaies$75008 PARIS";"PLACE BEAUVAU$75800 PARIS CEDEX 08"
80752;"Fonction op�rations emploi CF CAB DGGN";"FOE CF CAB DGGN";92;8026;;;;58;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
10414;"Chefferie de cabinet CAB DGGN";"CCAB CAB DGGN";75;016N;"+33 1 84 22 29 99";;;59;"Place Beauvau$75008 PARIS";"PLACE BEAUVAU$75800 PARIS CEDEX 08"
88852;"Section des aides de camp - protocole - �v�nement CCAB CAB DGGN";"SACPE CCAB CAB DGGN";75;016P;;;;60;"Place Beauvau$75008 PARIS";"PLACE BEAUVAU$75800 PARIS CEDEX 08"
56399;"Groupe des conducteurs d'autorit� CCAB CAB DGGN";"GCA CCAB CAB DGGN";92;9083;;;;61;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
28876;"Secr�tariat CAB DGGN";"SECR CAB DGGN";75;0311;;;;62;"Place Beauvau$75008 PARIS";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
81627;"Cellule management de l'information CAB DGGN";"CMI CAB DGGN";92;9028;"+33 1 84 22 01 15";;;63;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
27175;"Conseillers du directeur g�n�ral CAB DGGN";"CDG CAB DGGN";75;9070;;;;64;"Minist�re de l'Int�rieur$11 Rue des Saussaies$75008 PARIS";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
67079;"Conseillers du major g�n�ral de la gendarmerie nationale CAB DGGN";"CMGGN CAB DGGN";92;0890;;;;65;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
60251;"Charg�s de mission du directeur g�n�ral CAB DGGN";"CMDG CAB DGGN";92;8025;"+33 1 49 24 43 97";"+33 6 11 56 53 89";;66;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
80227;"P�le de la parole publique CAB DGGN";"PPP CAB DGGN";92;9263;;;;67;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
28875;"Charg�s de mission CAB DGGN";"CM CAB DGGN";92;8025;;;;68;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
60201;"Charg�s de projet CAB DGGN";"CP CAB DGGN";92;8025;;;;69;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
60202;"Repr�sentants cat�goriels CAB DGGN";"RC CAB DGGN";92;9103;;;;70;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
84452;"P�le des affaires r�serv�es CAB DGGN";"PAR CAB DGGN";92;056K;;;;71;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
20951;"MINARM - Aumoneries";AUMONERIES;92;0884;"+33 1 84 22 28 51";;;72;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
61351;"Secr�tariat des aum�neries AUMONERIES";"SECRAUMONERIES AUMONERIES";92;0311;"+33 1 84 22 28 51";"+33 6 87 67 59 74";;73;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
20952;"Aum�nerie catholique AUMONERIES";"AC AUMONERIES";92;9020;"+33 1 84 22 28 51";;;74;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
20953;"Aum�nerie isra�lite AUMONERIES";"AI AUMONERIES";92;9020;"+33 1 84 22 28 51";;;75;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
20955;"Aum�nerie musulmane AUMONERIES";"AM AUMONERIES";92;9020;"+33 1 84 22 28 51";;;76;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
20954;"Aum�nerie protestante AUMONERIES";"AP AUMONERIES";92;9020;"+33 1 84 22 28 51";;;77;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
11550;"Direction des op�rations et de l'emploi DGGN";"DOE DGGN";92;016Q;"+33 1 84 22 10 05";;;78;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
95027;"Direction de programme logiciel de r�daction de la GN-NG XP DOE DGGN";"DPLRGN-NG XP DOE DGGN";92;8114;;;;79;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
13536;"Commandement DOE DGGN";"CMDT DOE DGGN";92;0164;"+33 1 84 22 10 05";;;80;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
83091;"Section budget CMDT DOE DGGN";"SB CMDT DOE DGGN";92;016O;;;;81;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
93752;"Section secr�tariat CMDT DOE DGGN";"SSECR CMDT DOE DGGN";92;8112;;;;82;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
93753;"Section ressources humaines CMDT DOE DGGN";"SRH CMDT DOE DGGN";92;8112;;;;83;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
84952;"Mission juridique op�rationnelle DOE DGGN";"MJO DOE DGGN";92;9221;;;;84;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
87502;"Mission internationale DOE DGGN";"MI DOE DGGN";92;9221;;;;85;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
83090;"P�le strat�gie g�n�rale DOE DGGN";"PSG DOE DGGN";92;056K;;;;86;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
81302;"P�le strat�gie capacitaire DOE DGGN";"PSC DOE DGGN";92;056K;;;;87;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
89427;"Groupe des charg�s de missions et de projets PSC DGGN";"GCMP PSC DGGN";92;0163;;;;88;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
89428;"D�partement g�o-exploitation op�rationnelle PSC DGGN";"DGEO PSC DGGN";92;9237;;;;89;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
89429;"D�partement des �tudes et des exp�rimentations PSC DGGN";"DEE PSC DGGN";92;9237;;;;90;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
81328;"Centre national des op�rations DOE DGGN";"CNO DOE DGGN";92;8009;;;;91;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
83277;"Secr�tariat CNO DGGN";"SECR CNO DGGN";92;0311;"+33 1 84 22 09 08";;;92;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
83777;"D�tachement secr�tariat Cr�teil";"DSECR CRETEIL";94;9290;;;;93;"16 Avenue du Chemin-de-Mesly$94000 CRETEIL";"16 AVENUE DU CHEMIN DE MESLY$94000 CRETEIL"
81329;"Bureau du management de l'information op�rationnelle CNO DGGN";"BMIO CNO DGGN";92;050C;"+33 1 84 22 09 22";;;94;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
81330;"Bureau du suivi de la synth�se et de la veille op�rationnelle CNO DGGN";"BSSVO CNO DGGN";92;050C;"+33 1 84 22 01 40";"+33 6 87 86 58 55";;95;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
85061;"Section d'information judiciaire BSSVO DGGN";"SIJ BSSVO DGGN";92;9049;;"+33 6 89 95 33 56";;96;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
83283;"Centre national de s�curit� des mobilit�s BSSVO DGGN";"CNSM BSSVO DGGN";92;8000;"+33 1 84 22 01 20";;;97;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
83282;"Section suivi synth�se op�rationnelle BSSVO DGGN";"SSSO BSSVO DGGN";92;9049;;;;98;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
15544;"Section quart de la veille op�rationnelle BSSVO DGGN";"SQVO BSSVO DGGN";92;9241;"+33 1 84 22 01 40";"+33 6 87 86 58 55";;99;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
81332;"Bureau J1 CNO DGGN";"BJ1 CNO DGGN";92;050C;;"+33 6 07 45 20 86";;100;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
81331;"Bureau J2 CNO DGGN";"BJ2 CNO DGGN";92;050C;;;;101;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
83278;"Bureau J3 CNO DGGN";"BJ3 CNO DGGN";92;050C;;;;102;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
81333;"Bureau J4 CNO DGGN";"BJ4 CNO DGGN";92;050C;;;;103;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
83279;"Bureau J5 CNO DGGN";"BJ5 CNO DGGN";92;050C;;;;104;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
81334;"Bureau J6 CNO DGGN";"BJ6 CNO DGGN";94;050C;;;;105;"16 Avenue du Chemin-de-Mesly$94000 CRETEIL";"16 AVENUE DU CHEMIN DE MESLY$94000 CRETEIL"
81335;"Bureau J7 CNO DGGN";"BJ7 CNO DGGN";92;050C;;;;106;"4 Rue Claude Bernard$92130 ISSY LES MOULINEAUX";"4 RUE CLAUDE BERNARD$CS 60003$92136 ISSY LES MOULINEAUX CEDEX"
